mainlocation,sublocation,neighborhood,frontage,purpose,size,streetwidth,pricepermeter
الرياض,شمال الرياض,حي حطين,شمال,سكني,2607 ,20 ,3800 
الرياض,شمال الرياض,حي النفل,جنوب شرقي,تجاري,2444 ,36 ,4350 
الرياض,شمال الرياض,حي بنبان,جنوب غربي,سكني,1025 ,20 ,1024 
الرياض,شمال الرياض,حي الملقا,شرق,سكني,420 ,15 ,4100 
الرياض,شمال الرياض,حي حطين,شمال,تجاري,900 ,40 ,4550 
الرياض,شمال الرياض,حي الوادي,جنوب غربي,سكني,918 ,15 ,3050 
الرياض,شمال الرياض,حي التعاون,شمال,سكني,375 ,15 ,4000 
الرياض,شمال الرياض,حي الياسمين,4 شوارع,تجاري,10000 ,60 ,5500 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,386 ,15 ,4000 
الرياض,شمال الرياض,حي بنبان,جنوب,غير محدد,735 ,20 ,955 
الرياض,شمال الرياض,حي بنبان,شرق,سكني,375 ,25 ,800 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,875 ,15 ,4000 
الرياض,شمال الرياض,حي الصحافة,جنوب,تجاري,816 ,36 ,4200 
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,832 ,20 ,4000 
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,900 ,15 ,3100 
الرياض,شمال الرياض,حي العارض,جنوب,تجاري,3000 ,60 ,3100 
الرياض,شمال الرياض,حي الملقا,شرق,غير محدد,560 ,25 ,3700 
الرياض,شمال الرياض,حي الملقا,شمال,غير محدد,560 ,25 ,4600 
الرياض,شمال الرياض,حي حطين,غرب,سكني,960 ,15 ,4000 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,525 ,20 ,4650 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,900 ,20 ,4200 
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,سكني أو تجاري,6500 ,30 ,4500 
الرياض,شمال الرياض,حي العارض,شمال,سكني,540 ,20 ,2300 
الرياض,شمال الرياض,حي الملقا,شرق,تجاري,2300 ,35 ,3800 
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني أو تجاري,1050 ,30 ,3100 
الرياض,شمال الرياض,حي العارض,غرب,سكني,600 ,20 ,2500 
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,غير محدد,814 ,20 ,700 
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,1050 ,15 ,3300 
الرياض,شمال الرياض,حي حطين,شرق,سكني,875 ,15 ,3800 
الرياض,شمال الرياض,حي الربيع,جنوب,سكني,600 ,20 ,4200 
الرياض,شمال الرياض,حي الياسمين,جنوب,سكني,390 ,15 ,3700 
الرياض,شمال الرياض,حي القيروان,شرق,سكني,625 ,20 ,3400 
الرياض,شمال الرياض,حي بنبان,3 شوارع,سكني,1500 ,غير محدد,1500000 
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني أو تجاري,32000 ,30 ,2850 
الرياض,شمال الرياض,حي حطين,4 شوارع,سكني,4900 ,20 ,3900 
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,832 ,20 ,3900 
الرياض,شمال الرياض,حي النرجس,غرب,غير محدد,450 ,20 ,3300 
الرياض,شمال الرياض,حي السليمانية,3 شوارع,سكني أو تجاري,9800 ,30 ,4500 
الرياض,شمال الرياض,حي حطين,جنوب,سكني,384 ,15 ,4100 
الرياض,شمال الرياض,حي العارض,شرق,سكني,600 ,25 ,2500 
الرياض,شمال الرياض,حي الصحافة,شرق,سكني,750 ,25 ,3600 
الرياض,شمال الرياض,حي الملقا,جنوب,غير محدد,860 ,20 ,4300 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,600 ,20 ,3800 
الرياض,شمال الرياض,حي الوادي,غرب,سكني,1200 ,15 ,2900 
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,9000 ,20 ,4000 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,687 ,20 ,4100 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,560 ,15 ,2500 
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,9000 ,20 ,4000 
الرياض,شمال الرياض,حي المحمدية,جنوب شرقي,سكني,1500 ,20 ,4700 
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,9500 ,30 ,6000 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,6585 ,25 ,3800 
الرياض,شمال الرياض,حي العقيق,شرق,سكني,450 ,15 ,3500 
الرياض,شمال الرياض,حي حطين,غرب,سكني,875 ,20 ,4100 
الرياض,شمال الرياض,حي النرجس,غرب,سكني,900 ,20 ,2400 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,900 ,20 ,3800 
الرياض,شمال الرياض,حي حطين,غرب,سكني,960 ,15 ,4000 
الرياض,شمال الرياض,حي القيروان,4 شوارع,تجاري,3000 ,30 ,2900 
الرياض,شمال الرياض,حي العارض,4 شوارع,سكني,500 ,20 ,2500 
الرياض,شمال الرياض,حي الوادي,شمال غربي,سكني,608 ,15 ,3200 
الرياض,شمال الرياض,حي بنبان,شرق,سكني,420 ,15 ,850 
الرياض,شمال الرياض,حي العارض,3 شوارع,سكني,1344 ,19 ,2150 
الرياض,شمال الرياض,حي الواحة,شمال,سكني,864 ,15 ,3900 
الرياض,شمال الرياض,حي صلاح الدين,جنوب,سكني,600 ,15 ,4000 
الرياض,شمال الرياض,حي الفلاح,غرب,تجاري,2340 ,80 ,9000 
الرياض,شمال الرياض,حي النرجس,3 شوارع,تجاري,9240 ,60 ,4500 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,450 ,15 ,3150 
الرياض,شمال الرياض,حي السليمانية,جنوب شرقي,سكني,373 ,12 ,3300 
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,450 ,15 ,777 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,1099 ,40 ,3100 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,560 ,25 ,4700 
الرياض,شمال الرياض,حي المحمدية,غرب,سكني,1015 ,20 ,4650 
الرياض,شمال الرياض,حي الملقا,شرق,غير محدد,312 ,25 ,5000 
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,تجاري,900 ,30 ,3000 
الرياض,شمال الرياض,حي حطين,غرب,سكني,375 ,15 ,4200 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,443 ,15 ,4000 
الرياض,شمال الرياض,حي الورود,غرب,سكني,910 ,20 ,2900 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,343 ,15 ,4250 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,2250 ,15 ,4200 
الرياض,شمال الرياض,حي الياسمين,3 شوارع,تجاري,4130 ,60 ,7500 
الرياض,شمال الرياض,حي النرجس,جنوب,غير محدد,1500 ,15 ,3100 
الرياض,شمال الرياض,حي العليا,شمال غربي,سكني,580 ,12 ,3400 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,838 ,18 ,5000 
الرياض,شمال الرياض,حي حطين,شمال شرقي,تجاري,1050 ,30 ,4762 
الرياض,شمال الرياض,حي الياسمين,3 شوارع,تجاري,6200 ,80 ,7000 
الرياض,شمال الرياض,حي الياسمين,شرق,سكني,300 ,15 ,4000 
الرياض,شمال الرياض,حي الياسمين,جنوب,تجاري,17000 ,36 ,4000 
الرياض,شمال الرياض,حي النرجس,غرب,سكني,312 ,15 ,3000 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,600 ,15 ,2500 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,450 ,20 ,3500 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,1100 ,26 ,4500 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,737 ,18 ,4000 
الرياض,شمال الرياض,حي العقيق,جنوب,سكني أو تجاري,1000 ,30 ,3500 
الرياض,شمال الرياض,حي القيروان,شمال,سكني,450 ,20 ,3000 
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,375 ,15 ,3600 
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني أو تجاري,1050 ,31 ,4200 
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,سكني,1380 ,15 ,3500 
الرياض,شمال الرياض,حي المروج,4 شوارع,سكني أو تجاري,3575 ,65 ,7000 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,900 ,15 ,2200 
الرياض,شمال الرياض,حي بنبان,شرق,تجاري,800 ,30 ,1000 
الرياض,شمال الرياض,حي العقيق,جنوب,تجاري,900 ,60 ,6500 
الرياض,شمال الرياض,حي الغدير,شمال شرقي,سكني,1200 ,15 ,4400 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,750 ,18 ,4300 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,1620 ,28 ,4000 
الرياض,شمال الرياض,حي العارض,جنوب,سكني,575 ,20 ,2500 
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,1738 ,20 ,3200 
الرياض,شمال الرياض,حي بنبان,جنوب,غير محدد,375 ,15 ,746 
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,2100 ,20 ,4300 
الرياض,شمال الرياض,حي القيروان,4 شوارع,سكني أو تجاري,12675 ,60 ,3400 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,1258 ,15 ,4300 
الرياض,شمال الرياض,حي الياسمين,3 شوارع,سكني أو تجاري,4785 ,60 ,5800 
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,540 ,12 ,3500 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,1089 ,15 ,4000 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,588 ,15 ,2700 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,1120 ,20 ,3600 
الرياض,شمال الرياض,حي الملقا,شمال,غير محدد,446 ,15 ,4000 
الرياض,شمال الرياض,حي بنبان,جنوب,تجاري,409000 ,50 ,100 
الرياض,شمال الرياض,حي الرحمانية,جنوب شرقي,سكني,516 ,15 ,3600 
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,900 ,25 ,3750 
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,683 ,25 ,2900 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,6585 ,25 ,3800 
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,375 ,20 ,4000 
الرياض,شمال الرياض,حي القيروان,3 شوارع,تجاري,2353 ,60 ,4000 
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,1050 ,15 ,2200 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,903 ,15 ,3900 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,2783 ,50 ,3300 
الرياض,شمال الرياض,حي العقيق,شمال شرقي,سكني,919 ,20 ,3500 
الرياض,شمال الرياض,حي السليمانية,جنوب شرقي,سكني,1749 ,15 ,3000 
الرياض,شمال الرياض,حي الصحافة,شمال,سكني,721 ,30 ,4160 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,750 ,18 ,4100 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,910 ,20 ,2300 
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,2338 ,15 ,4700 
الرياض,شمال الرياض,حي الملقا,شرق,سكني,875 ,25 ,4200 
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,477 ,20 ,3700 
الرياض,شمال الرياض,حي السليمانية,شمال,سكني,3000 ,12 ,2667 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,764 ,20 ,3300 
الرياض,شمال الرياض,حي بنبان,شمال,سكني,405 ,25 ,800 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,390 ,12 ,2850 
الرياض,شمال الرياض,حي حطين,غرب,سكني,1352 ,15 ,2700 
الرياض,شمال الرياض,حي بنبان,جنوب,غير محدد,487 ,15 ,924 
الرياض,شمال الرياض,حي الياسمين,جنوب,تجاري,750 ,36 ,4650 
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني أو تجاري,2868 ,30 ,3800 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,1120 ,20 ,3700 
الرياض,شمال الرياض,حي المعذر الشمالي,3 شوارع,سكني,3360 ,19 ,3350 
الرياض,شمال الرياض,حي حطين,شمال,سكني,750 ,15 ,4200 
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,سكني,9702 ,20 ,600 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,500 ,18 ,4450 
الرياض,شمال الرياض,حي حطين,شرق,سكني,469 ,15 ,3800 
الرياض,شمال الرياض,حي الصحافة,3 شوارع,تجاري,1620 ,20 ,8800 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,1200 ,20 ,4000 
الرياض,شمال الرياض,حي العارض,3 شوارع,سكني,1366 ,21 ,2500 
الرياض,شمال الرياض,حي القيروان,3 شوارع,سكني أو تجاري,2044 ,30 ,3200 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,1260 ,15 ,2500 
الرياض,شمال الرياض,حي بنبان,شمال,غير محدد,810 ,20 ,753 
الرياض,شمال الرياض,حي حطين,جنوب شرقي,سكني,1137 ,30 ,10000 
الرياض,شمال الرياض,حي الفلاح,غرب,سكني,387 ,15 ,4000 
الرياض,شمال الرياض,حي العارض,غرب,تجاري,3000 ,60 ,4500 
الرياض,شمال الرياض,حي النرجس,جنوب,غير محدد,450 ,15 ,2400 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,1050 ,21 ,5000 
الرياض,شمال الرياض,حي القيروان,غرب,سكني,900 ,15 ,2550 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,1070 ,20 ,3200 
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,1500 ,15 ,3350 
الرياض,شمال الرياض,حي الوادي,شمال غربي,سكني,350 ,15 ,4285 
الرياض,شمال الرياض,حي الملقا,شرق,سكني,350 ,15 ,4300 
الرياض,شمال الرياض,حي حطين,شرق,سكني,674 ,23 ,4500 
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,750 ,15 ,2500 
الرياض,شمال الرياض,حي القيروان,جنوب شرقي,سكني,642 ,20 ,3200 
الرياض,شمال الرياض,حي الربيع,غرب,سكني,400 ,12 ,3900 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,450 ,15 ,3000 
الرياض,شمال الرياض,حي النخيل,شرق,سكني,1125 ,20 ,3700 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,375 ,20 ,3600 
الرياض,شمال الرياض,حي الملقا,غرب,غير محدد,713 ,20 ,3500 
الرياض,شمال الرياض,حي بنبان,4 شوارع,سكني,600 ,20 ,833 
الرياض,شمال الرياض,حي القيروان,غرب,سكني,675 ,15 ,3000 
الرياض,شمال الرياض,حي المغرزات,شمال,سكني,1125 ,23 ,2900 
الرياض,شمال الرياض,حي النرجس,جنوب,تجاري,900 ,36 ,4300 
الرياض,شمال الرياض,حي الوادي,جنوب,سكني,660 ,15 ,3000 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,900 ,20 ,4200 
الرياض,شمال الرياض,حي المعذر الشمالي,شمال شرقي,سكني,450 ,10 ,3000 
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,583 ,15 ,4600 
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,650 ,15 ,3400 
الرياض,شمال الرياض,حي بنبان,3 شوارع,غير محدد,1600 ,40 ,1630 
الرياض,شمال الرياض,حي العارض,جنوب,سكني أو تجاري,432 ,30 ,2000 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,6600 ,25 ,3200 
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,1600 ,15 ,4000 
الرياض,شمال الرياض,حي بنبان,شرق,سكني,910 ,15 ,879 
الرياض,شمال الرياض,حي المرسلات,شرق,سكني,550 ,20 ,3000 
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,1454 ,20 ,4100 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,887 ,15 ,4000 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,348 ,12 ,3600 
الرياض,شمال الرياض,حي بنبان,شمال شرقي,سكني,510 ,15 ,823 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,700 ,25 ,4000 
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,503 ,15 ,795 
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,367 ,15 ,3500 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,2000 ,25 ,9000 
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني أو تجاري,2291 ,36 ,2600 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,917 ,15 ,3489 
الرياض,شمال الرياض,حي الصحافة,شمال شرقي,تجاري,2400 ,40 ,10000 
الرياض,شمال الرياض,حي الورود,شرق,سكني,560 ,12 ,2800 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,450 ,20 ,3200 
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,520 ,15 ,3000 
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,1050 ,25 ,3600 
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,1800 ,15 ,3000 
الرياض,شمال الرياض,حي القيروان,شرق,سكني,600 ,20 ,3000 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,726 ,15 ,4000 
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,غير محدد,400 ,15 ,1250 
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,تجاري,1950 ,80 ,6500 
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,435 ,15 ,3500 
الرياض,شمال الرياض,حي الفلاح,شمال,سكني أو تجاري,2700 ,35 ,5000 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,3604 ,15 ,4500 
الرياض,شمال الرياض,حي المروج,4 شوارع,تجاري,2777 ,80 ,9500 
الرياض,شمال الرياض,حي القيروان,4 شوارع,تجاري,9600 ,60 ,4000 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,1260 ,20 ,4600 
الرياض,شمال الرياض,حي النرجس,غرب,سكني,450 ,15 ,2400 
الرياض,شمال الرياض,حي الندى,شمال,سكني,420 ,15 ,3900 
الرياض,شمال الرياض,حي بنبان,شرق,سكني,1200 ,20 ,708 
الرياض,شمال الرياض,حي النزهة,شمال غربي,سكني أو تجاري,1393 ,30 ,4500 
الرياض,شمال الرياض,حي الياسمين,جنوب,سكني,390 ,15 ,3700 
الرياض,شمال الرياض,حي المغرزات,3 شوارع,سكني أو تجاري,1650 ,35 ,5000 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,480 ,15 ,4500 
الرياض,شمال الرياض,حي حطين,جنوب,سكني,437 ,15 ,3697 
الرياض,شمال الرياض,حي الملك عبدالله,شرق,سكني,750 ,20 ,3000 
الرياض,شمال الرياض,حي القيروان,جنوب شرقي,سكني,525 ,20 ,3700 
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,1187 ,25 ,5500 
الرياض,شمال الرياض,حي القيروان,غرب,سكني,900 ,20 ,3000 
الرياض,شمال الرياض,حي الملقا,غرب,سكني,900 ,15 ,3500 
الرياض,شمال الرياض,حي الوادي,جنوب,تجاري,2030 ,36 ,4000 
الرياض,شمال الرياض,حي الورود,شرق,سكني,560 ,12 ,3571 
الرياض,شمال الرياض,حي بنبان,جنوب,غير محدد,750 ,15 ,670 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,900 ,15 ,4000 
الرياض,شمال الرياض,حي المصيف,شمال,سكني,690 ,10 ,2250 
الرياض,شمال الرياض,حي الورود,3 شوارع,سكني,896 ,20 ,3906 
الرياض,شمال الرياض,حي حطين,شرق,سكني,1350 ,60 ,3750 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,900 ,20 ,4100 
الرياض,شمال الرياض,حي الياسمين,4 شوارع,سكني,7240 ,15 ,3500 
الرياض,شمال الرياض,حي العليا,شرق,غير محدد,1800 ,30 ,16666 
الرياض,شمال الرياض,حي الملقا,شرق,سكني,900 ,20 ,3700 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,1050 ,15 ,3000 
الرياض,شمال الرياض,حي العارض,غرب,سكني,429 ,20 ,2200 
الرياض,شمال الرياض,حي المصيف,غرب,تجاري,910 ,36 ,3900 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,1257 ,15 ,4500 
الرياض,شمال الرياض,حي القيروان,4 شوارع,سكني,13301 ,20 ,2500 
الرياض,شمال الرياض,حي القيروان,3 شوارع,سكني,2350 ,25 ,3500 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,900 ,20 ,4000 
الرياض,شمال الرياض,حي بنبان,شرق,غير محدد,771 ,15 ,700 
الرياض,شمال الرياض,حي النخيل,غرب,سكني,1350 ,20 ,4500 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,6585 ,غير محدد,3800 
الرياض,شمال الرياض,حي الياسمين,شرق,سكني,300 ,14 ,4000 
الرياض,شمال الرياض,حي النرجس,جنوب,غير محدد,560 ,15 ,2600 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,780 ,20 ,4500 
الرياض,شمال الرياض,حي الياسمين,جنوب شرقي,سكني,810 ,15 ,3700 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,348 ,15 ,3600 
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,750 ,25 ,600 
الرياض,شمال الرياض,حي الياسمين,جنوب,تجاري,750 ,36 ,4650 
الرياض,شمال الرياض,حي النرجس,جنوب,غير محدد,783 ,15 ,2400 
الرياض,شمال الرياض,حي النرجس,4 شوارع,غير محدد,10680 ,غير محدد,3200 
الرياض,شمال الرياض,حي الفلاح,جنوب غربي,سكني,680 ,20 ,3300 
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,910 ,15 ,825 
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,600 ,15 ,3620 
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني أو تجاري,1860 ,36 ,3350 
الرياض,شمال الرياض,حي الملقا,4 شوارع,تجاري,23746 ,60 ,6000 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,540 ,15 ,3300 
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,15000 ,20 ,3600 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,920 ,20 ,4400 
الرياض,شمال الرياض,حي المرسلات,شمال,سكني,720 ,15 ,3150 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,3125 ,15 ,2200 
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,446 ,15 ,4300 
الرياض,شمال الرياض,حي الورود,غرب,سكني,910 ,20 ,2900 
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,1050 ,20 ,3000 
الرياض,شمال الرياض,حي النرجس,شرق,سكني,450 ,15 ,3000 
الرياض,شمال الرياض,حي المعذر الشمالي,3 شوارع,سكني,3360 ,20 ,3100 
الرياض,شمال الرياض,حي حطين,شمال غربي,سكني,1050 ,20 ,4300 
الرياض,شمال الرياض,حي بنبان,شمال,سكني,600 ,15 ,533 
الرياض,شمال الرياض,حي النرجس,غرب,غير محدد,780 ,15 ,3000 
الرياض,شمال الرياض,حي بنبان,شرق,غير محدد,840 ,15 ,1125 
الرياض,شمال الرياض,حي العارض,3 شوارع,سكني أو تجاري,3575 ,30 ,1650 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,900 ,15 ,2900 
الرياض,شمال الرياض,حي القيروان,4 شوارع,سكني أو تجاري,59599 ,80 ,1000 
الرياض,شمال الرياض,حي حطين,شرق,سكني,675 ,25 ,4500 
الرياض,شمال الرياض,حي النرجس,شمال,سكني,550 ,15 ,3200 
الرياض,شمال الرياض,حي القيروان,شرق,غير محدد,1750 ,30 ,2800 
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,6585 ,25 ,4000 
الرياض,شمال الرياض,حي مطار الملك خالد الدولي,شرق,غير محدد,20000 ,20 ,6 
الرياض,شمال الرياض,حي بنبان,شمال غربي,تجاري,10000 ,60 ,800 
الرياض,شمال الرياض,حي القيروان,شمال,سكني,900 ,20 ,3200 
الرياض,شمال الرياض,حي الملقا,شمال,غير محدد,875 ,15 ,4000 
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,1135 ,25 ,4200 
الرياض,شمال الرياض,حي المؤتمرات,3 شوارع,سكني,1200 ,20 ,4170 
الرياض,شمال الرياض,حي الياسمين,3 شوارع,تجاري,35000 ,غير محدد,3333 
الرياض,شمال الرياض,حي بنبان,شرق,سكني,800 ,20 ,1000 
الرياض,شمال الرياض,حي الملقا,شمال,سكني,480 ,15 ,3600 
